PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,TamanoFamilia,ViajaSolo,GrupoEdad,TarifaPorPersona,Puerto,Estado
63,0,1,Harris Mr.Henry Birkhardt,Male,45,1,0,369733,88,C83,S,2,False,Adulto,88,Southampton,Falleció
64,0,3,Skoog Master. Harald,Male,4,3,2,347088,28,Desconocido,S,6,False,Niño,5,Southampton,Falleció
65,0,1,Stewart Mr. Albert A,Male,30,0,0,PC 17605,277,Desconocido,C,1,True,Adulto joven,277,Cherburgo,Falleció
66,1,3,Moubarek Master. Gerios,Male,4,1,1,2661,15,Desconocido,C,3,False,Niño,15,Cherburgo,Sobrevivió
67,1,2,Nye Mrs. (Elizabeth Ramell),Female,29,0,0,C.A. 29395,10,F33,S,1,True,Adulto joven,5,Southampton,Sobrevivió
68,0,3,Crease Mr. Ernest James,Male,19,0,0,S.P. 3464,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
69,1,3,Andersson Miss. Erna Alexandra,Female,17,4,2,311281,9,Desconocido,S,7,False,Adolescente,9,Southampton,Sobrevivió
70,0,3,Kink Mr. Vincenz,Male,26,2,0,315151,9,Desconocido,S,3,False,Adulto joven,9,Southampton,Falleció
71,0,2,Jenkin Mr. Stephen Curnow,Male,32,0,0,C.A. 33111,10,Desconocido,S,1,True,Adulto joven,10,Southampton,Falleció
72,0,3,Goodwin Miss. Lillian Amy,Female,16,5,2,C.A. 2144,47,Desconocido,S,8,False,Adolescente,8,Southampton,Falleció
73,0,2,Hood Mr. Ambrose Jr,Male,21,0,0,S.O.C. 14879,74,Desconocido,S,1,True,Adulto joven,15,Southampton,Falleció
74,0,3,Chronopoulos Mr. Apostolos,Male,26,1,0,2680,14,Desconocido,C,2,False,Adulto joven,14,Cherburgo,Falleció
75,1,3,Bing Mr. Lee,Male,32,0,0,1601,56,Desconocido,S,1,True,Adulto joven,9,Southampton,Sobrevivió
76,0,3,moen Mr. Sigurd Hansen,Male,22,0,0,341823,8,F  G7 3,S,1,True,Adulto joven,8,Southampton,Falleció
77,0,3,Staneff Mr. Ivan,Male,30,0,0,349208,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
78,0,3,Moutal Mr. Rahamin Heim,Male,30,0,5,374746,8,Desconocido,S,6,False,Adulto joven,8,Southampton,Falleció
79,1,2,Caldwell Master. Alden Gates,Male,1,0,2,248738,29,Desconocido,S,3,False,Niño,14,Southampton,Sobrevivió
80,1,3,Dowdell Miss. Elizabeth,Female,30,0,0,364516,12,Desconocido,S,1,True,Adulto joven,6,Southampton,Sobrevivió
81,0,3,Waelens Mr. Achille,Male,22,0,0,345767,9,Desconocido,S,1,True,Adulto joven,9,Southampton,Falleció
82,1,3,Sheerlinck Mr. Jan Baptist,Male,29,0,0,345779,10,Desconocido,S,1,True,Adulto joven,10,Southampton,Sobrevivió
83,1,3,McDermott Miss. Brigdet Delia,Female,21,0,0,330932,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Sobrevivió
84,0,1,Carrau Mr. Francisco M,Male,28,0,0,113059,47,Desconocido,S,1,True,Adulto joven,47,Southampton,Falleció
85,1,2,Ilett Miss. Bertha,Female,17,0,0,S.O.C. 14885,10,Desconocido,S,1,True,Adolescente,10,Southampton,Sobrevivió
86,1,3,Backstrom Mrs. Karl Alfred (Maria Mathilda Gustafsson),Female,33,3,0,3101278,16,Desconocido,S,4,False,Adulto joven,8,Southampton,Sobrevivió
87,0,3,Ford Mr. William Neal,Male,16,1,3,W./C. 6608,34,Desconocido,S,5,False,Adolescente,11,Southampton,Falleció
88,0,3,Slocovski Mr. Selman Francis,Male,30,0,0,SOTON/O.Q. 392086,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
89,1,1,Fortune Miss. Mabel Helen,Female,23,3,2,19950,263,C23 C25 C27,S,6,False,Adulto joven,66,Southampton,Sobrevivió
90,0,3,Celotti Mr. Francesco,Male,24,0,0,343275,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
91,0,3,Christmann Mr. Emil,Male,29,0,0,343276,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
92,0,3,Andreasson Mr. Paul Edvin,Male,20,0,0,347466,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
93,0,1,Chaffee Mr. Herbert Fuller,Male,46,1,0,WE/P 5734,61,E31,S,2,False,Adulto,61,Southampton,Falleció
94,0,3,Dean Mr. Bertram Frank,Male,26,1,2,C.A. 2315,21,Desconocido,S,4,False,Adulto joven,10,Southampton,Falleció
95,0,3,Coxon Mr. Daniel,Male,59,0,0,364500,7,Desconocido,S,1,True,Adulto,7,Southampton,Falleció
96,0,3,Sho rney Mr. Charles Joseph,Male,30,0,0,734910,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
97,0,1,Goldschmidt Mr. George B,Male,71,0,0,PC 17754,347,A5,C,1,True,Mayor,347,Cherburgo,Falleció
98,1,1,Grenfield Mr. William Bertram,Male,23,0,1,PC 17759,63,D10 D12,C,2,False,Adulto joven,63,Cherburgo,Sobrevivió
99,1,2,Doling Mrs. John T (Ada Julia Bone),Female,34,0,1,231919,23,Desconocido,S,2,False,Adulto joven,12,Southampton,Sobrevivió
100,0,2,Kantor Mr. Sinai,Male,34,1,0,244367,26,Desconocido,S,2,False,Adulto joven,13,Southampton,Falleció
101,0,3,Petranec Miss. Matilda,Female,28,0,0,349245,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
102,0,3,Petroff Mr. Pastcho (Pentcho),Male,30,0,0,349215,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
103,0,1,White Mr. Richard Frasar,Male,21,0,1,35281,77,D26,S,2,False,Adulto joven,39,Southampton,Falleció
104,0,3,Johansson Mr. Gsutaf Joel,Male,33,0,0,7540,9,Desconocido,S,1,True,Adulto joven,9,Southampton,Falleció
105,0,3,Gustafsson Mr. Anders Vilhelm,Male,37,2,0,3101276,8,Desconocido,S,3,False,Adulto,8,Southampton,Falleció
106,0,3,Mionoff Mr. Stoytcho,Male,28,0,0,349207,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
107,1,3,Salkjelsvik Miss. Anna Kristine,Female,21,0,0,343120,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Sobrevivió
108,1,3,Moss Mr. Albert Johan,Male,30,0,0,312991,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Sobrevivió
109,0,3,Rekic Mr. Tido,Male,38,0,0,349249,8,Desconocido,S,1,True,Adulto,8,Southampton,Falleció
110,1,3,Moran Miss. Bertha,Female,21,1,0,371110,24,Desconocido,Q,2,False,Adulto joven,8,Queenstown,Sobrevivió
111,0,1,Porter Mr. Walter Chamberlain,Male,47,0,0,110465,52,C110,S,1,True,Adulto,26,Southampton,Falleció
112,0,3,Zabour Miss. Hileni,Female,14,1,0,2665,14,Desconocido,C,2,False,Adolescente,7,Cherburgo,Falleció
113,0,3,Barton Mr. David John,Male,22,0,0,324669,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
114,0,3,Jussila Miss. Katriina,Female,20,1,0,4136,10,Desconocido,S,2,False,Adulto joven,10,Southampton,Falleció
115,0,3,Attalah Miss. Malake,Female,17,0,0,2627,14,Desconocido,C,1,True,Adolescente,7,Cherburgo,Falleció
116,0,3,Pekoniemi Mr. Edvard,Male,21,0,0,STON/O2. 3101294,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
117,0,3,Connors Mr. Patrick,Male,70,0,0,370369,8,Desconocido,Q,1,True,Mayor,8,Queenstown,Falleció
118,0,2,Turpin Mr. William John Robert,Male,29,1,0,11668,21,Desconocido,S,2,False,Adulto joven,10,Southampton,Falleció
119,0,1,Baxter Mr. Quigg Edmond,Male,24,0,1,PC 17558,248,B58 B60,C,2,False,Adulto joven,124,Cherburgo,Falleció
120,0,3,Andersson Miss. Ellis Anna Maria,Female,2,4,2,347082,31,Desconocido,S,7,False,Niño,4,Southampton,Falleció
121,0,2,Hickman Mr. Stanley George,Male,21,2,0,S.O.C. 14879,74,Desconocido,S,3,False,Adulto joven,15,Southampton,Falleció
122,0,3,Moore Mr. Leonard Charles,Male,30,0,0,A/4 54510,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
123,0,2,Nasser Mr. Nicholas,Male,32,1,0,237736,30,Desconocido,C,2,False,Adulto joven,15,Cherburgo,Falleció
124,1,2,Webber Miss. Susan,Female,32,0,0,27267,13,E101,S,1,True,Adulto joven,13,Southampton,Sobrevivió
125,0,1,White Mr. Percival Wayland,Male,54,0,1,35281,77,D26,S,2,False,Adulto,39,Southampton,Falleció
126,1,3,Nicola-Yarred Master. Elias,Male,12,1,0,2651,11,Desconocido,C,2,False,Adolescente,6,Cherburgo,Sobrevivió
127,0,3,McMahon Mr. Martin,Male,30,0,0,370372,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Falleció
128,1,3,madsen Mr. Fridtjof Arne,Male,30,0,0,CC 17369,7,Desconocido,S,1,True,Adulto joven,7,Southampton,Sobrevivió
129,1,3,Peter Miss. Anna,Female,21,1,1,2668,22,F E69,C,3,False,Adulto joven,11,Cherburgo,Sobrevivió
130,0,3,Ekstrom Mr. Johan,Male,45,0,0,347061,70,Desconocido,S,1,True,Adulto,70,Southampton,Falleció
131,0,3,Drazenoic Mr. Jozef,Male,33,0,0,349241,8,Desconocido,C,1,True,Adulto joven,8,Cherburgo,Falleció
132,0,3,Coelho Mr. Domingos Fernandeo,Male,20,0,0,SOTON/O.Q. 3101307,7,Desconocido,S,1,True,Adulto joven,7,Southampton,Falleció
133,0,3,Robins Mrs. Alexander A (Grace Charity Laury),Female,47,1,0,A/5 3337,14,Desconocido,S,2,False,Adulto,14,Southampton,Falleció
134,1,2,Weisz Mrs. Leopold (Mathilde Francoise Pede),Female,29,1,0,228414,26,Desconocido,S,2,False,Adulto joven,26,Southampton,Sobrevivió
135,0,2,Sobey Mr. Samuel James Hayden,Male,25,0,0,C.A. 29178,13,Desconocido,S,1,True,Adulto joven,13,Southampton,Falleció
136,0,2,Richard Mr. Emile,Male,23,0,0,SC/PARIS 2133,15,Desconocido,C,1,True,Adulto joven,15,Cherburgo,Falleció
137,1,1,Newsom Miss. Helen Monypeny,Female,19,0,2,11752,263,D47,S,3,False,Adulto joven,263,Southampton,Sobrevivió
138,0,1,Futrelle Mr. Jacques Heath,Male,37,1,0,113803,53,C123,S,2,False,Adulto,27,Southampton,Falleció
139,0,3,Osen Mr. Olaf Elon,Male,16,0,0,7534,9,Desconocido,S,1,True,Adolescente,5,Southampton,Falleció
140,0,1,Giglio Mr. Victor,Male,24,0,0,PC 17593,79,B86,C,1,True,Adulto joven,40,Cherburgo,Falleció
141,0,3,Boulos Mrs. Joseph (Sultana),Female,35,0,2,2678,15,Desconocido,C,3,False,Adulto,8,Cherburgo,Falleció
142,1,3,Nysten Miss. Anna Sofia,Female,22,0,0,347081,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Sobrevivió
143,1,3,Hakkarainen Mrs. Pekka Pietari (Elin Matilda Dolck),Female,24,1,0,STON/O2. 3101279,16,Desconocido,S,2,False,Adulto joven,8,Southampton,Sobrevivió
144,0,3,Burke Mr. Jeremiah,Male,19,0,0,365222,7,Desconocido,Q,1,True,Adulto joven,7,Queenstown,Falleció
145,0,2,Andrew Mr. Edgardo Samuel,Male,18,0,0,231945,12,Desconocido,S,1,True,Adulto joven,12,Southampton,Falleció
146,0,2,Nicholls Mr. Joseph Charles,Male,19,1,1,C.A. 33112,37,Desconocido,S,3,False,Adulto joven,18,Southampton,Falleció
147,1,3,Andersson Mr. August Edvard (Wennerstrom),Male,27,0,0,350043,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Sobrevivió
148,0,3,Ford Miss. Robina Maggie Ruby,Female,9,2,2,W./C. 6608,34,Desconocido,S,5,False,Niño,11,Southampton,Falleció
149,0,2,Navratil Mr. Michel (Louis M Hoffman),Male,36,0,2,230080,26,F2,S,3,False,Adulto,9,Southampton,Falleció
150,0,2,Byles Rev. Thomas Roussel Davids,Male,42,0,0,244310,13,Desconocido,S,1,True,Adulto,13,Southampton,Falleció
151,0,2,Bateman Rev. Robert James,Male,51,0,0,S.O.P. 1166,13,Desconocido,S,1,True,Adulto,13,Southampton,Falleció
152,1,1,P eras rs. Thomas (Edith Wearne),Female,22,1,0,113776,67,C2,S,2,False,Adulto joven,33,Southampton,Sobrevivió
153,0,3,Meo Mr. Alfonzo,Male,56,0,0,A/5 11206,8,Desconocido,S,1,True,Adulto,8,Southampton,Falleció
154,0,3,van Billiard Mr. Austin Blyler,Male,40,0,2,A/5 851,14,Desconocido,S,3,False,Adulto,14,Southampton,Falleció
155,0,3,Olsen Mr. Ole Martin,Male,30,0,0,FA 265302,7,Desconocido,S,1,True,Adulto joven,7,Southampton,Falleció
156,0,1,Williams Mr. Charles Duane,Male,51,0,1,PC 17597,61,Desconocido,C,2,False,Adulto,61,Cherburgo,Falleció
157,1,3,Gilnagh Miss. Katherine Katie,Female,16,0,0,35851,8,Desconocido,Q,1,True,Adolescente,8,Queenstown,Sobrevivió
158,0,3,Corn Mr. Harry,Male,30,0,0,SOTON/O.Q. 392090,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
159,0,3,Smiljanic Mr. Mile,Male,30,0,0,315037,9,Desconocido,S,1,True,Adulto joven,9,Southampton,Falleció
160,0,3,Sage Master. Thomas Henry,Male,4,8,2,C.A. 2343,70,Desconocido,S,11,False,Niño,10,Southampton,Falleció
161,0,3,Cribb Mr. John Hatfield,Male,44,0,1,371362,16,Desconocido,S,2,False,Adulto,16,Southampton,Falleció
162,1,2,Watt Mrs. James (Elizabeth Bessie Inglis Milne),Female,40,0,0,C.A. 33595,16,Desconocido,S,1,True,Adulto,16,Southampton,Sobrevivió
163,0,3,Bengtsson Mr. John Viktor,Male,26,0,0,347068,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
164,0,3,Calic Mr. Jovo,Male,17,0,0,315093,9,Desconocido,S,1,True,Adolescente,9,Southampton,Falleció
165,0,3,Panula Master. Eino Viljami,Male,1,4,1,3101295,40,Desconocido,S,6,False,Niño,7,Southampton,Falleció
166,1,3,Goldsmith Master. Frank John William Frankie,Male,9,0,2,363291,21,Desconocido,S,3,False,Niño,7,Southampton,Sobrevivió
167,1,1,Chibnall Mrs. (Edith Martha Bowerman),Female,35,0,1,113505,55,E33,S,2,False,Adulto,28,Southampton,Sobrevivió
168,0,3,Skoog Mrs. William (Anna Bernhardina Karlsson),Female,45,1,4,347088,28,Desconocido,S,6,False,Adulto,5,Southampton,Falleció
169,0,1,Baumann Mr. John D,Male,30,0,0,PC 17318,259,Desconocido,S,1,True,Adulto joven,259,Southampton,Falleció
170,0,3,Ling Mr. Lee,Male,28,0,0,1601,56,Desconocido,S,1,True,Adulto joven,9,Southampton,Falleció
171,0,1,Van der hoef Mr. Wyckoff,Male,61,0,0,111240,34,B19,S,1,True,Mayor,34,Southampton,Falleció
172,0,3,Rci Master. Arthur,Male,4,0,1,3826652,29,Desconocido,Q,2,False,Niño,29,Queenstown,Falleció
173,1,3,Johnson Miss. Eleanor Ileen,Female,1,1,1,347742,11,Desconocido,S,3,False,Niño,4,Southampton,Sobrevivió
174,0,3,Sivvloa Mr. Antti Wilhhelm,Male,20,0,0,STON/O2. 3101280,8,Desconocido,S,1,True,Adulto joven,8,Southampton,Falleció
175,0,1,Smith Mr. James Clinch,Male,56,0,0,17764,307,A7,C,1,True,Adulto,307,Cherburgo,Falleció
176,0,3,Klasen Mr. Klas Albin,Male,18,1,1,350404,8,Desconocido,S,3,False,Adulto joven,8,Southampton,Falleció
177,0,3,Lefebre Master. Henry Forbes,Male,4,3,1,4133,25,Desconocido,S,5,False,Niño,6,Southampton,Falleció
178,0,1,Isham Miss. Ann Elizabeth,Female,50,0,0,PC 17595,287,C49,C,1,True,Adulto,287,Cherburgo,Falleció
179,0,2,Hale Mr. Reginald,Male,30,0,0,250653,13,Desconocido,S,1,True,Adulto joven,13,Southampton,Falleció
180,0,3,Leonard Mr. Lionel,Male,36,0,0,LINE,0,Desconocido,S,1,True,Adulto,0,Southampton,Falleció
181,0,3,Sage Miss. Constance Gladys,Female,21,8,2,C.A. 2343,70,Desconocido,S,11,False,Adulto joven,10,Southampton,Falleció
182,0,2,Pernot Mr. Rene,Male,30,0,0,SC/PARIS 2131,15,Desconocido,C,1,True,Adulto joven,15,Cherburgo,Falleció
183,0,3,Asplund Master. Clarence Gustaf Hugo,Male,9,4,2,347077,8,Desconocido,S,7,False,Niño,2,Southampton,Falleció
184,1,2,Becker Master. Richard F,Male,1,2,1,230136,39,F4,S,4,False,Niño,20,Southampton,Sobrevivió
185,1,3,Kink-Heilmann Miss. Luise Gretchen,Female,4,0,2,315153,22,Desconocido,S,3,False,Niño,22,Southampton,Sobrevivió
186,0,1,oRad Mr. Hugh Rosoe,Male,30,0,0,113767,50,A32,S,1,True,Adulto joven,50,Southampton,Falleció
187,1,3,O'Brien Mrs. Thomas (Johanna Hannah Godfrey),Female,35,1,0,370365,16,Desconocido,Q,2,False,Adulto,8,Queenstown,Sobrevivió
188,1,1,Romaine Mr. Charles Hallace (Mr C Rolmane),Male,45,0,0,111428,27,Desconocido,S,1,True,Adulto,27,Southampton,Sobrevivió
189,0,3,Bourke Mr. John,Male,40,1,1,364849,16,Desconocido,Q,3,False,Adulto,8,Queenstown,Falleció
190,0,3,Turcin Mr. Stjepan,Male,36,0,0,349247,8,Desconocido,S,1,True,Adulto,8,Southampton,Falleció
191,1,2,Pinsky Mrs. (Rosa),Female,32,0,0,234604,13,Desconocido,S,1,True,Adulto joven,13,Southampton,Sobrevivió
192,0,2,Carbines Mr. William,Male,19,0,0,28424,13,Desconocido,S,1,True,Adulto joven,13,Southampton,Falleció
193,1,3,Andersen-Jensen Miss. Carla Christine Nielsine,Female,19,1,0,350046,8,Desconocido,S,2,False,Adulto joven,8,Southampton,Sobrevivió
194,1,2,Navratil Master. Michel M,Male,3,1,1,230080,26,F2,S,3,False,Niño,9,Southampton,Sobrevivió
195,1,1,Brown Mrs. James Joseph (Margaret Tobin),Female,44,0,0,PC 17610,277,B4,C,1,True,Adulto,277,Cherburgo,Sobrevivió
196,1,1,Lurette Miss. Elise,Female,58,0,0,PC 17569,147,B80,C,1,True,Adulto,73,Cherburgo,Sobrevivió
197,0,3,Mernagh Mr. Robert,Male,30,0,0,368703,8,Desconocido,Q,1,True,Adulto joven,8,Queenstown,Falleció
198,0,3,Olsen Mr. Karl Siegwart Andreas,Male,42,0,1,4579,8,Desconocido,S,2,False,Adulto,8,Southampton,Falleció
